Incident ID,Incident Date,State,City Or County,Address,# Killed,# Injured,Operations
2091746,15-Aug-21,Illinois,Chicago,6200 block of W Grand Ave,1,1,N/A
2091828,15-Aug-21,Kentucky,Louisville,13000 block of Lyons Ave,2,0,N/A
2091125,14-Aug-21,Texas,Portland,2111 Escondido St,3,0,N/A
2089933,13-Aug-21,Minnesota,Bena,N/A,1,0,N/A
2089279,12-Aug-21,Michigan,Interlochen,394 Bendon Rd,1,0,N/A
2089411,11-Aug-21,Missouri,Saint Louis,4246 Pleasant St,2,0,N/A
2086329,08-Aug-21,Georgia,Albany,1500 block of W Gordon Ave,1,0,N/A
2086012,07-Aug-21,Mississippi,Meridian,19th St and Old Marion Rd,1,0,N/A
2084089,06-Aug-21,Alabama,Harvest,281 Blue Creek Dr,2,0,N/A
2083541,05-Aug-21,Illinois,Chicago,6400 block of S Carpenter Ave,1,0,N/A
2082997,04-Aug-21,Ohio,Dayton,1000 block of Randolph St,1,0,N/A
2081842,03-Aug-21,Texas,Groveton,N/A,1,0,N/A
2081603,02-Aug-21,Michigan,Mancelona,N/A,1,0,N/A
2081610,02-Aug-21,Louisiana,Baton Rouge,7500 block of Glenetta Ct,1,0,N/A
2081118,02-Aug-21,Virginia,Roanoke,1644 Queen Ann Dr SE,1,0,N/A
2081131,02-Aug-21,South Carolina,Greenwood,101 Heddy Rd,3,1,N/A
2080140,01-Aug-21,Wisconsin,Milwaukee,1307 S 9th St,1,0,N/A
2081354,01-Aug-21,Missouri,Independence,200 block of E Walnut St,1,0,N/A
2081494,01-Aug-21,Utah,Smithfield,N/A,1,0,N/A
2079064,31-Jul-21,Ohio,Columbus,2119 Via Da Vinci Ct,1,0,N/A
2082874,30-Jul-21,Oklahoma,Calera,5251 Choctaw Rd,3,0,N/A
2077517,28-Jul-21,Louisiana,Minden,700 block of Plum St,1,0,N/A
2075277,25-Jul-21,North Carolina,High Point,800 Block of Worth St,1,0,N/A
2074453,24-Jul-21,Mississippi,Amory,N/A,1,0,N/A
2068988,20-Jul-21,Alabama,Birmingham,1800 block of Carson Rd,1,0,N/A
2069325,20-Jul-21,Ohio,Columbus,1545 Sarin St,1,1,N/A
2067698,18-Jul-21,Tennessee,Westmoreland,Fairfield Rd,1,0,N/A
2067771,17-Jul-21,Mississippi,Hickory,MS-503,1,0,N/A
2066927,17-Jul-21,California,Arvin,North Hill St,1,2,N/A
2066102,17-Jul-21,Alabama,Montgomery,N/A,1,0,N/A
2159198,16-Jul-21,Tennessee,Memphis,Ridgeway Rd,1,0,N/A
2064992,16-Jul-21,District of Columbia,Washington,2900 block of MLK Ave SE,1,5,N/A
2062831,13-Jul-21,Ohio,Maple Heights,19700 block of Maple Heights Blvd,1,0,N/A
2061324,12-Jul-21,Tennessee,Memphis,5587 Berryman Dr,1,0,N/A
2059286,09-Jul-21,Utah,Heber City,2790 N Commons Blvd,1,0,N/A
2058232,09-Jul-21,Oklahoma,Sayre,100 block of W Main St,1,0,N/A
2057472,08-Jul-21,Mississippi,Jackson,Coronet Pl and Cummins St,1,0,N/A
2209052,07-Jul-21,Tennessee,Memphis,7600 block of Nash Dr,1,0,N/A
2055773,07-Jul-21,Illinois,Chicago,S Corliss Ave and E 32nd St,1,0,N/A
2055926,07-Jul-21,Tennessee,Goodlettsville,100 block of Elizabeth Ct,1,0,N/A
2055374,06-Jul-21,Colorado,Manitou Springs,141 Manitou Ave,1,0,N/A
2055057,06-Jul-21,Virginia,Halifax,5100 block of Halifax Rd,1,0,N/A
